Golbach_Pthread,,Threads,8,,,,,,,,,,,GoldbachSerial VS pthread,,Golbach_Pthread,,Threads,1,,,,,,,,,,,,,Golbach_Pthread,,Threads,4,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,128,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,2,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,16,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,32,,,,,,,,,,,,,
,Speed Up All Tests,,,,Speed Up Medium Tests,,,,,,,,,,,,0.000067988,0.000068396,0.0000886,0.000156667,0.000147185,0.002074841,0.00160833,0.000505789,0.177595292,0.027135612,0.062082703,0.190829095,0.46229251,0.457642702,,,0.000120018,0.000127969,0.000130494,0.000165051,0.000165361,0.000904609,0.001609251,0.000539727,0.056841471,0.027547881,0.020795509,0.082609241,0.191436564,0.187794102,,,0.003838735,0.0035883,0.003914775,0.00401654,0.003559093,0.004237152,0.003227402,0.004370594,0.029430743,0.030984542,0.021164238,0.081412214,0.189905593,0.162991737,,,0.000085446,0.000092811,0.000095073,0.000155925,0.000145325,0.000150676,0.001219654,0.000512337,0.099271116,0.028278424,0.040800815,0.128493903,0.299216059,0.296844258,,,0.000731607,0.00071995,0.000812029,0.00073287,0.001032863,0.001286645,0.002184165,0.001103552,0.028429023,0.02772754,0.021412759,0.077676298,0.163117694,0.15524562,,,0.001105661,0.000992758,0.000981646,0.001239801,0.001220008,0.001713769,0.002266725,0.001597089,0.027518219,0.028906436,0.021522267,0.079766822,0.16772554,0.157713744,,
number of threads,goldbach_pthread,golbach_Optimization_sums_1,Golbach_Optimization_sums_2,number of threads,goldbach_pthread,golbach_Optimization_sums_1,Golbach_Optimization_sums_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.302459376,1.464443901,3.539148432,1,1.297119346,1.461134088,3.534160193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.210700903,2.274380076,5.468028078,2,2.204927108,2.271670372,5.44858988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.204289237,3.525478255,8.546548151,4,3.206511271,3.538235271,8.612531505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4.33450938,4.813893484,10.37974912,8,4.374220695,4.875194552,10.66039616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4.379786473,4.240645913,10.03031475,16,4.449809468,4.449809468,10.4182174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4.408390551,4.408390551,9.754756562,32,4.508540677,4.508540677,10.25517865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,4.415132494,4.21691664,8.615448266,128,4.722570072,4.508393575,9.923095795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efficiency Score All tests,,,,Efficiency Score Medium Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number of threads,goldbach_pthread,golbach_Optimization_sums_1,Golbach_Optimization_sums_2,number of threads,goldbach_pthread,golbach_Optimization_sums_1,Golbach_Optimization_sums_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.302459376,1.464443901,3.539148432,1,1.297119346,1.461134088,3.534160193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.137190038,1.137190038,2.734014039,2,1.102463554,1.135835186,2.72429494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.8010723092,0.8813695637,2.178079336,4,0.8016278178,0.8845588176,2.153132876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.5418136725,0.6093993191,1.347988601,8,0.5467775869,0.6093993191,1.33254952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.2620047506,0.6268946718,0.6268946718,16,0.2680778644,0.2781130918,0.6511385877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.1320133169,0.1377622047,0.3048361426,32,0.134417664,0.1408918961,0.3204743328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.03449322261,0.03294466125,0.07842239055,128,0.03689507869,0.0775241859,0.0775241859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
