Golbach_Pthread,,Threads,8,,,,,,,,,,,GoldbachSerial VS pthread,,Golbach_Pthread,,Threads,1,,,,,,,,,,,,,Golbach_Pthread,,Threads,4,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,128,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,2,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,16,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,32,,,,,,,,,,,,,
0.000042145,0.000169732,0.00014685,0.000639398,0.000360017,0.005593113,0.01377563,0.000653271,0.463216691,0.562816592,0.160800106,0.449308676,1.657480076,1.636142065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000100078,0.000026142,0.000171698,0.000738157,0.000363584,0.005419728,0.01154781,0.000660082,0.464052554,0.557299786,0.159987149,0.442048423,1.642315113,1.623387912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Best,Best Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000024395,0.000026142,0.00014685,0.000639398,0.000360017,0.005388156,0.01154781,0.000630819,0.463216691,0.557299786,0.159987149,0.436878994,1.636121812,1.61738262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golbach_Optimization_sums_1,,Threads,8,,,,,,,,,,,Goldbachpthread VS Optimization_sums_1,GoldbachSerial VS Optimization_sums_1,,Golbach_Optimization_sums_1,,Threads,1,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,4,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,128,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,2,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,16,,,,,,,,,,,,,Golbach_Optimization_sums_1,,Threads,32,,,,,,,,,,,,
Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,Speed Gain Total,Speed Gain Total,Efficiency score,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_1,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_1,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_1,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,,Test001,Test002,Test003,Test004,Test005,Test006,Test007,Test008,Test020,Test021,Test022,Test023,Total,Total Medium,GoldbachSerial VS Optimization_sums_2,
0.000734142,0.000706443,0.000884009,0.000946299,0.00070409,0.001966433,0.002577971,0.001069618,0.074956609,0.037889404,0.055231548,0.166838511,0.343770935,0.334916072,1.110597085,4.813893484,0.6093993191,0.000074553,0.000073496,0.00009376,0.000226331,0.000250739,0.005797818,0.003329166,0.000606883,0.511726525,0.055343942,0.179084612,0.483322309,1.239855581,1.229477388,Speed Gain Total,Efficiency score,0.000283539,0.000145026,0.000171039,0.000192764,0.000207527,0.002497138,0.003504569,0.000579161,0.16567485,0.057262453,0.063317202,0.181009148,0.474560877,0.467263653,Speed Gain Total,Efficiency score,0.003663095,0.004198132,0.003851408,0.003833266,0.004210118,0.00707892,0.005243939,0.004267796,0.07958873,0.080876371,0.055418342,0.161569568,0.41013659,0.377453011,Speed Gain Total,Efficiency score,0.000076819,0.000080889,0.000121963,0.000186242,0.000201171,0.003190541,0.005118995,0.000553683,0.295867055,0.056466036,0.11296446,0.278694369,0.753445404,0.74399192,Speed Gain Total,Efficiency score,0.000681305,0.000902378,0.001211563,0.000884147,0.001083546,0.001528055,0.00407485,0.001114896,0.080411508,0.059750041,0.056820261,0.169889997,0.377671242,0.366871807,Speed Gain Total,Efficiency score,0.001420212,0.001729916,0.001394263,0.001599315,0.001768037,0.003014826,0.004052691,0.001584622,0.078108405,0.062152217,0.057437287,0.167017634,0.379859213,0.364715543,Speed Gain Total,Efficiency score
0.000761098,0.000808959,0.000762553,0.000750857,0.000944401,0.001956644,0.002823252,0.001367521,0.076658523,0.036729625,0.054510175,0.168920434,0.346232944,0.336818757,Speed Gain Medium,Speed Gain Medium,Efficiency Score Medium,0.00007619,0.000076558,0.000103035,0.000222074,0.000261897,0.005834224,0.003302068,0.000568012,0.523458236,0.056038662,0.061307517,0.485139999,1.136312282,1.125944414,1.464443901,1.464443901,0.000132282,0.000426562,0.000143827,0.000202144,0.000173338,0.002300804,0.003449054,0.001315402,0.175638783,0.058259351,0.063520127,0.175768411,0.481197803,0.473186672,3.525478255,0.8813695637,0.004184623,0.003580594,0.004220728,0.004413308,0.003852785,0.005114855,0.005344551,0.004934957,0.088359592,0.064458372,0.059218805,0.167106566,0.410605113,0.379143335,4.21691664,0.03294466125,0.000076374,0.000079618,0.000107744,0.000279465,0.000202347,0.003083555,0.003199227,0.000549503,0.272921357,0.054811371,0.107251535,0.284157901,0.726643623,0.719142164,2.274380076,1.137190038,0.000563582,0.000741315,0.000810596,0.001135577,0.001171449,0.001706821,0.00405621,0.001524893,0.081609287,0.060524035,0.064178508,0.174462273,0.391920964,0.380774103,4.379786473,0.2737366546,0.001189264,0.00097844,0.001328271,0.001341923,0.001568825,0.002891687,0.004382685,0.002179779,0.079082881,0.060913229,0.05841585,0.163390591,0.376474161,0.361802551,4.408390551,0.1377622047
0.000827415,0.000687456,0.000703877,0.000528877,0.001188646,0.001845508,0.002904559,0.001094124,0.074746648,0.03566222,0.056174607,0.167094948,0.34263147,0.333678423,1.114528711,4.875194552,0.6093993191,0.000074712,0.000119106,0.000096251,0.000212242,0.000246914,0.005830941,0.003379869,0.000570479,0.514671785,0.058066029,0.056543701,0.489028846,1.128766163,1.118310361,Speed Gain Medium,Efficiency Score Medium,0.00012867,0.000130496,0.000150206,0.00021295,0.00018933,0.002448608,0.003466409,0.000696934,0.160920994,0.06019116,0.065422888,0.175614974,0.469444949,0.462150016,Speed Gain Medium,Efficiency Score Medium,0.00405982,0.003776235,0.004112361,0.0043016,0.004020355,0.004749333,0.005253119,0.004129545,0.083945546,0.062172567,0.058579767,0.162902353,0.397942781,0.367600233,Speed Gain Medium,Efficiency Score Medium,0.000086212,0.000169328,0.000101647,0.000204176,0.000191206,0.003200191,0.003439183,0.000591058,0.27144286,0.054590685,0.109801785,0.293304158,0.737036277,0.729139488,Speed Gain Medium,Efficiency Score Medium,0.000759033,0.000799986,0.000972806,0.001551797,0.000978097,0.002055769,0.004032567,0.00237775,0.082938412,0.059658973,0.056036735,0.167365115,0.378768007,0.365999235,Speed Gain Medium,Efficiency Score Medium,0.00131444,0.001392779,0.001410681,0.001705682,0.001326721,0.001787957,0.004203252,0.001693991,0.083387934,0.059801219,0.059199038,0.164668427,0.380577681,0.367056618,Speed Gain Medium,Efficiency Score Medium
